user_id,operators_flagged,total_fails,fail_missed_rate,fail_waiting_time,fail_outbound
167626,5,5,0,1,4
168062,4,4,0,0,4
168187,4,4,0,1,3
168361,3,3,0,0,3
167264,2,2,1,1,0
167125,2,2,0,0,2
167580,2,2,1,1,0
167150,2,2,0,0,2
166658,2,2,0,0,2
167059,2,2,1,1,0
168252,2,2,0,1,1
167521,2,2,0,2,0
168091,2,2,0,0,2
167078,1,1,0,1,0
166879,1,1,0,1,0
166541,1,1,1,0,0
166604,1,1,0,1,0
166485,1,1,0,0,1
166520,1,1,0,0,1
166392,1,1,0,1,0
166916,1,1,0,1,0
166896,1,1,0,1,0
167445,1,1,0,1,0
167497,1,1,0,0,1
168021,1,1,0,0,1
167828,1,1,0,1,0
168412,1,1,0,0,1
