operator_id,user_id,op_calls,team_calls,n_references,op_missed_rate,team_missed_rate,p85_threshold,p_value,fail_missed_rate
937368.0,167580,22,25,1,0.1818,0.0,0.1545,0.0258,True
911102.0,167059,27,590,4,0.1111,0.0136,0.1044,0.0002,True
908960.0,166541,694,973,2,0.0202,0.0031,0.0151,0.0006,True
919554.0,167264,1181,1087,1,0.0093,0.0009,0.0081,0.0059,True
911142.0,167059,20,597,4,0.1,0.0151,0.1044,0.0048,False
945046.0,168307,59,59,1,0.0678,0.0339,0.0627,0.402,False
927912.0,167819,17,23,1,0.0588,0.0435,0.0565,0.8258,False
894120.0,166782,18,20,1,0.0556,0.0,0.0472,0.2854,False
948286.0,168187,319,1397,5,0.047,0.0272,0.0458,0.0649,False
948288.0,168187,22,1694,5,0.0455,0.0307,0.0458,0.691,False
927910.0,167819,23,17,1,0.0435,0.0588,0.0565,0.8258,False
934430.0,167976,28,36,1,0.0357,0.0,0.0304,0.2531,False
945052.0,168307,59,59,1,0.0339,0.0678,0.0627,0.402,False
895574.0,166896,96,70,1,0.0312,0.0143,0.0287,0.4815,False
937956.0,168187,773,943,5,0.031,0.0308,0.0458,0.972,False
882680.0,166428,99,25,1,0.0303,0.0,0.0258,0.3783,False
906410.0,166916,232,241,1,0.0302,0.0166,0.0281,0.3274,False
911140.0,167059,70,547,4,0.0286,0.0165,0.1044,0.4707,False
937962.0,168187,106,1610,5,0.0283,0.0311,0.0458,0.8739,False
937958.0,168187,292,1424,5,0.0274,0.0316,0.0458,0.7053,False
920728.0,167445,201,113,1,0.0199,0.0,0.0169,0.1312,False
906408.0,166916,241,232,1,0.0166,0.0302,0.0281,0.3274,False
940430.0,167828,63,46,1,0.0159,0.0,0.0135,0.3906,False
895576.0,166896,70,96,1,0.0143,0.0312,0.0287,0.4815,False
940588.0,168252,2127,1985,1,0.0141,0.0086,0.0133,0.0949,False
896536.0,166879,182,60,2,0.011,0.0,0.0077,0.4149,False
911138.0,167059,289,328,4,0.0104,0.0244,0.1044,0.1894,False
937960.0,168187,204,1512,5,0.0098,0.0337,0.0458,0.0637,False
919206.0,167626,925,2804,3,0.0097,0.0064,0.0088,0.3031,False
893402.0,166604,337,206,1,0.0089,0.0049,0.0083,0.5925,False
940630.0,168252,1985,2127,1,0.0086,0.0141,0.0133,0.0949,False
919204.0,167626,1165,2564,3,0.0077,0.007,0.0088,0.8139,False
919166.0,167626,993,2736,3,0.006,0.0077,0.0088,0.6031,False
893420.0,166604,206,337,1,0.0049,0.0089,0.0083,0.5925,False
911136.0,167059,211,406,4,0.0047,0.0246,0.1044,0.0765,False
919164.0,167626,646,3083,3,0.0046,0.0078,0.0088,0.3919,False
908958.0,166541,950,717,2,0.0032,0.0195,0.0151,0.001,False
919792.0,167521,750,3195,7,0.0013,0.0003,0.0008,0.2639,False
919552.0,167264,1087,1181,1,0.0009,0.0093,0.0081,0.0059,False
919794.0,167521,1136,2809,7,0.0009,0.0004,0.0008,0.5077,False
928202.0,166428,25,99,1,0.0,0.0303,0.0258,0.3783,False
908834.0,166541,23,1644,2,0.0,0.0103,0.0151,0.624,False
919994.0,166782,20,18,1,0.0,0.0556,0.0472,0.2854,False
903512.0,166879,28,214,2,0.0,0.0093,0.0077,0.6075,False
927070.0,166879,32,210,2,0.0,0.0095,0.0077,0.5793,False
921062.0,167445,113,201,1,0.0,0.0199,0.0169,0.1312,False
919790.0,167521,1576,2369,7,0.0,0.0008,0.0008,0.2486,False
944210.0,167521,114,3831,7,0.0,0.0005,0.0008,0.8072,False
944228.0,167521,29,3916,7,0.0,0.0005,0.0008,0.9031,False
944808.0,167521,229,3716,7,0.0,0.0005,0.0008,0.7255,False
946916.0,167521,32,3913,7,0.0,0.0005,0.0008,0.8982,False
961770.0,167521,79,3866,7,0.0,0.0005,0.0008,0.8398,False
937374.0,167580,25,22,1,0.0,0.1818,0.1545,0.0258,False
940440.0,167828,46,63,1,0.0,0.0159,0.0135,0.3906,False
934428.0,167976,36,28,1,0.0,0.0357,0.0304,0.2531,False
