operator_id,user_id,op_weekly_median,team_weekly_median,n_references,p15_threshold,p_value,fail_out
910594.0,166940,28.0,50.0,1,50.0,0.5,False
914050.0,167487,29.0,158.0,1,158.0,0.25,False
924948.0,167497,30.5,35.5,5,32.0,0.1205,False
938842.0,167175,31.0,84.5,2,83.4,0.1,False
918452.0,167359,32.0,36.0,2,36.0,0.1145,False
937898.0,168187,32.0,100.0,19,45.4,0.15,False
891746.0,166680,33.0,91.0,12,59.3,0.0769,False
938612.0,167828,33.0,60.0,1,60.0,0.2,False
906396.0,166916,34.0,55.0,3,47.3,0.0873,False
924960.0,167497,34.0,35.5,5,29.9,0.2321,False
932836.0,167497,35.5,34.0,5,29.9,0.4707,False
912722.0,167359,36.0,34.0,2,32.6,0.618,False
924356.0,167359,36.0,34.0,2,32.6,0.5473,False
898920.0,167009,37.0,61.2,2,59.7,0.3333,False
922428.0,167747,37.0,55.8,2,48.9,0.0857,False
910524.0,167031,42.5,211.0,1,211.0,0.3333,False
896708.0,166941,43.0,76.0,3,56.8,0.35,False
906412.0,166916,44.0,55.0,3,40.3,0.3412,False
919126.0,167645,46.0,61.0,1,61.0,0.6,False
922476.0,167747,46.0,51.2,2,41.3,0.4,False
937810.0,168187,47.0,100.0,19,38.6,0.0126,False
924950.0,167497,48.0,34.0,5,29.9,0.5619,False
896390.0,166941,48.5,76.0,3,52.9,0.6,False
972460.0,166940,50.0,28.0,1,28.0,1.0,False
939470.0,166405,52.0,113.0,4,82.6,0.3429,False
937988.0,168187,52.0,100.0,19,38.6,0.0252,False
958434.0,168091,53.0,96.5,8,51.0,0.0667,False
906400.0,166916,55.0,44.0,3,37.0,0.5369,False
960296.0,166680,57.0,91.0,12,59.3,0.0901,False
925828.0,166536,57.5,59.0,1,59.0,0.5556,False
932050.0,166680,58.0,91.0,12,59.0,0.0901,False
925826.0,166536,59.0,57.5,1,57.5,0.6667,False
898414.0,167009,59.0,50.2,2,41.0,0.6667,False
890420.0,166658,60.0,73.0,8,35.6,0.5,False
972412.0,166680,60.0,91.0,12,57.6,0.3077,False
940438.0,167828,60.0,33.0,1,33.0,0.8571,False
937862.0,168187,60.0,100.0,19,38.6,0.0247,False
919128.0,167645,61.0,46.0,1,46.0,0.75,False
898906.0,167009,63.5,48.0,2,40.3,0.8333,False
892028.0,166520,64.0,74.0,3,42.5,0.4,False
936382.0,167580,64.0,194.8,2,135.1,0.1905,False
930020.0,167888,65.0,81.5,1,81.5,0.2798,False
922474.0,167747,65.5,41.5,2,38.4,0.8667,False
937874.0,168187,65.5,100.0,19,38.6,0.2,False
890416.0,166658,66.0,73.0,8,35.3,0.6973,False
890412.0,166658,69.0,71.5,8,35.3,0.5768,False
958480.0,168091,69.0,96.5,8,50.2,0.2667,False
937788.0,168187,70.0,100.0,19,38.6,0.1396,False
943050.0,166680,73.0,91.0,12,57.6,0.3846,False
941628.0,166680,73.5,91.0,12,57.6,0.3956,False
884946.0,166520,74.0,64.0,3,39.5,0.5441,False
906394.0,166916,75.0,44.0,3,37.0,0.959,False
896386.0,166941,76.0,48.5,3,44.6,0.75,False
890410.0,166658,77.0,67.5,8,35.3,0.9269,False
972410.0,166680,77.0,89.2,12,57.6,0.5385,False
904014.0,167112,77.0,330.5,2,211.8,0.1154,False
890402.0,166658,78.0,67.5,8,35.3,0.9718,False
899968.0,167011,78.0,104.0,3,104.0,0.1862,False
953464.0,168412,78.0,286.0,5,70.2,0.0952,False
