operator_id,user_id,op_waiting_median,team_waiting_median,n_references,p85_threshold,p_value,fail_waiting_time
944228.0,167521,53.5,27.1,7,35.3,0.0021,True
911142.0,167059,46.5,20.0,4,33.9,0.0,True
927070.0,166879,42.5,18.2,2,42.2,0.0,True
891900.0,166392,40.5,26.0,1,38.3,0.0,True
937374.0,167580,36.7,16.5,1,33.6,0.0008,True
944210.0,167521,35.5,27.1,7,35.3,0.043,True
919552.0,167264,34.2,32.1,1,33.9,0.0024,True
893420.0,166604,29.0,13.2,1,26.6,0.0,True
906408.0,166916,28.0,26.0,1,27.7,0.0497,True
948286.0,168187,17.7,5.8,5,15.5,0.0,True
895576.0,166896,17.0,14.0,1,16.6,0.001,True
956480.0,167078,14.7,6.2,1,13.4,0.0,True
920728.0,167445,13.5,10.0,1,13.0,0.0183,True
940440.0,167828,9.2,1.0,1,8.0,0.0,True
919206.0,167626,7.7,6.5,3,7.6,0.0419,True
940630.0,168252,4.1,3.1,1,3.9,0.001,True
908834.0,166541,44.7,23.7,2,38.8,0.0582,False
903512.0,166879,41.5,18.0,2,42.2,0.0,False
919994.0,166782,33.5,17.2,1,31.1,0.0775,False
898560.0,166955,33.2,29.2,1,32.6,0.0567,False
919554.0,167264,32.1,34.2,1,33.9,0.9977,False
919790.0,167521,31.6,24.6,7,35.3,0.0,False
898558.0,166955,29.2,33.2,1,32.6,0.9516,False
919792.0,167521,27.9,27.0,7,35.3,0.0146,False
922356.0,167082,27.7,26.0,1,27.4,0.2321,False
919794.0,167521,27.0,27.2,7,35.3,0.3974,False
891906.0,166392,26.0,40.5,1,38.3,1.0,False
906410.0,166916,26.0,28.0,1,27.7,0.9518,False
920982.0,167082,26.0,27.7,1,27.4,0.7789,False
911102.0,167059,25.5,20.0,4,33.9,0.0003,False
908958.0,166541,25.1,23.0,2,38.8,0.002,False
911140.0,167059,24.0,20.0,4,33.9,0.0013,False
934428.0,167976,23.5,22.0,1,23.3,0.2919,False
908960.0,166541,23.0,25.3,2,38.8,0.9995,False
934430.0,167976,22.0,23.5,1,23.3,0.7164,False
945046.0,168307,19.5,12.6,1,18.5,0.0943,False
911136.0,167059,19.0,21.0,4,33.9,0.9998,False
911138.0,167059,18.9,22.0,4,33.9,1.0,False
894120.0,166782,17.2,33.5,1,31.1,0.9323,False
928202.0,166428,16.5,14.8,1,16.2,0.3657,False
937368.0,167580,16.5,36.7,1,33.6,0.9993,False
896536.0,166879,15.0,42.0,2,42.2,1.0,False
882680.0,166428,14.8,16.5,1,16.2,0.6413,False
937962.0,168187,14.8,5.8,5,15.5,0.0002,False
895574.0,166896,14.0,17.0,1,16.6,0.999,False
893402.0,166604,13.2,29.0,1,26.6,1.0,False
945052.0,168307,12.6,19.5,1,18.5,0.9171,False
961770.0,167521,11.5,27.9,7,35.3,1.0,False
921062.0,167445,10.0,13.5,1,13.0,0.9822,False
937960.0,168187,9.7,5.2,5,15.5,0.0277,False
951186.0,167958,8.4,8.3,1,8.4,0.4764,False
969294.0,167958,8.3,8.4,1,8.4,0.5692,False
919204.0,167626,7.5,6.8,3,7.6,0.1481,False
948288.0,168187,7.5,6.0,5,15.5,0.1134,False
946916.0,167521,7.0,27.4,7,35.3,0.9976,False
919164.0,167626,6.6,7.0,3,7.6,0.4513,False
900592.0,167078,6.2,14.7,1,13.4,1.0,False
937958.0,168187,6.0,8.0,5,15.5,0.4903,False
919166.0,167626,5.2,7.5,3,7.6,0.999,False
940588.0,168252,3.1,4.1,1,3.9,0.999,False
927912.0,167819,3.0,2.7,1,3.0,0.2221,False
927910.0,167819,2.7,3.0,1,3.0,0.8071,False
944808.0,167521,2.0,28.6,7,35.3,1.0,False
940430.0,167828,1.0,9.2,1,8.0,1.0,False
937956.0,168187,1.0,10.1,5,15.5,1.0,False
